 # Electron.Temp(eV)       Rate.Coefficient(cm^3/s)
  0.99999837998629315        2.1656392629302406E-011
   1.9999967599725863        1.9692298672072557E-009
   2.9999951399588793        8.4973241410012095E-009
   3.9999935199451726        1.7348127440245125E-008
   4.9999918999314659        2.6397271414786474E-008
   5.9999902799177587        3.4769993188301956E-008
   6.9999886599040515        4.2234184180322355E-008
   7.9999870398903452        4.8805675997042779E-008
   8.9999854198766371        5.4579314471308874E-008
   9.9999837998629317        5.9664480338300689E-008
